time,open,high,low,close
946684800,-1.53,-1.53,-1.53,-1.53
949363200,-1.34,-1.34,-1.34,-1.34
951868800,-1.16,-1.16,-1.16,-1.16
954547200,-1.18,-1.18,-1.18,-1.18
957139200,-1.07,-1.07,-1.07,-1.07
959817600,-0.85,-0.85,-0.85,-0.85
962409600,-0.54,-0.54,-0.54,-0.54
965088000,-0.42,-0.42,-0.42,-0.42
967766400,-0.39,-0.39,-0.39,-0.39
970358400,-0.44,-0.44,-0.44,-0.44
973036800,-0.6,-0.6,-0.6,-0.6
975628800,-0.8,-0.8,-0.8,-0.8
978307200,-0.82,-0.82,-0.82,-0.82
980985600,-0.54,-0.54,-0.54,-0.54
983404800,-0.17,-0.17,-0.17,-0.17
986083200,0.18,0.18,0.18,0.18
988675200,0.36,0.36,0.36,0.36
991353600,0.58,0.58,0.58,0.58
993945600,0.7,0.7,0.7,0.7
996624000,0.89,0.89,0.89,0.89
999302400,0.99,0.99,0.99,0.99
1001894400,1.15,1.15,1.15,1.15
1004572800,1.04,1.04,1.04,1.04
1007164800,0.81,0.81,0.81,0.81
1009843200,0.53,0.53,0.53,0.53
1012521600,0.37,0.37,0.37,0.37
1014940800,0.34,0.34,0.34,0.34
1017619200,0.29,0.29,0.29,0.29
1020211200,0.2,0.2,0.2,0.2
1022889600,0.0,0.0,0.0,0.0
1025481600,-0.08,-0.08,-0.08,-0.08
1028160000,0.0,0.0,0.0,0.0
1030838400,0.15,0.15,0.15,0.15
1033430400,0.1,0.1,0.1,0.1
1036108800,0.04,0.04,0.04,0.04
1038700800,0.15,0.15,0.15,0.15
1041379200,0.4,0.4,0.4,0.4
1044057600,0.6,0.6,0.6,0.6
1046476800,0.63,0.63,0.63,0.63
1049155200,0.66,0.66,0.66,0.66
1051747200,0.75,0.75,0.75,0.75
1054425600,0.77,0.77,0.77,0.77
1057017600,0.75,0.75,0.75,0.75
1059696000,0.73,0.73,0.73,0.73
1062374400,0.78,0.78,0.78,0.78
1064966400,0.84,0.84,0.84,0.84
1067644800,0.84,0.84,0.84,0.84
1070236800,0.81,0.81,0.81,0.81
1072915200,0.76,0.76,0.76,0.76
1075593600,0.47,0.47,0.47,0.47
1078099200,-0.05,-0.05,-0.05,-0.05
1080777600,-0.41,-0.41,-0.41,-0.41
1083369600,-0.54,-0.54,-0.54,-0.54
1086048000,-0.5,-0.5,-0.5,-0.5
1088640000,-0.64,-0.64,-0.64,-0.64
1091318400,-0.84,-0.84,-0.84,-0.84
1093996800,-0.9,-0.9,-0.9,-0.9
1096588800,-0.77,-0.77,-0.77,-0.77
1099267200,-0.73,-0.73,-0.73,-0.73
1101859200,-0.66,-0.66,-0.66,-0.66
1104537600,-0.68,-0.68,-0.68,-0.68
1107216000,-0.62,-0.62,-0.62,-0.62
1109635200,-0.69,-0.69,-0.69,-0.69
1112313600,-0.8,-0.8,-0.8,-0.8
1114905600,-0.79,-0.79,-0.79,-0.79
1117584000,-0.72,-0.72,-0.72,-0.72
1120176000,-0.68,-0.68,-0.68,-0.68
1122854400,-0.75,-0.75,-0.75,-0.75
1125532800,-1.09,-1.09,-1.09,-1.09
1128124800,-1.42,-1.42,-1.42,-1.42
1130803200,-1.67,-1.67,-1.67,-1.67
1133395200,-1.47,-1.47,-1.47,-1.47
1136073600,-1.11,-1.11,-1.11,-1.11
1138752000,-0.76,-0.76,-0.76,-0.76
1141171200,-0.63,-0.63,-0.63,-0.63
1143849600,-0.54,-0.54,-0.54,-0.54
1146441600,-0.52,-0.52,-0.52,-0.52
1149120000,-0.51,-0.51,-0.51,-0.51
1151712000,-0.57,-0.57,-0.57,-0.57
1154390400,-0.55,-0.55,-0.55,-0.55
1157068800,-0.46,-0.46,-0.46,-0.46
1159660800,-0.42,-0.42,-0.42,-0.42
1162339200,-0.43,-0.43,-0.43,-0.43
1164931200,-0.43,-0.43,-0.43,-0.43
1167609600,-0.25,-0.25,-0.25,-0.25
1170288000,0.06,0.06,0.06,0.06
1172707200,0.41,0.41,0.41,0.41
1175385600,0.72,0.72,0.72,0.72
1177977600,0.92,0.92,0.92,0.92
1180656000,1.11,1.11,1.11,1.11
1183248000,1.25,1.25,1.25,1.25
1185926400,1.32,1.32,1.32,1.32
1188604800,1.33,1.33,1.33,1.33
1191196800,1.39,1.39,1.39,1.39
1193875200,1.53,1.53,1.53,1.53
1196467200,1.74,1.74,1.74,1.74
1199145600,1.81,1.81,1.81,1.81
1201824000,1.66,1.66,1.66,1.66
1204329600,1.27,1.27,1.27,1.27
1207008000,0.93,0.93,0.93,0.93
1209600000,0.74,0.74,0.74,0.74
1212278400,0.64,0.64,0.64,0.64
1214870400,0.57,0.57,0.57,0.57
1217548800,0.43,0.43,0.43,0.43
1220227200,0.39,0.39,0.39,0.39
1222819200,0.44,0.44,0.44,0.44
1225497600,0.5,0.5,0.5,0.5
1228089600,0.61,0.61,0.61,0.61
1230768000,0.61,0.61,0.61,0.61
1233446400,0.62,0.62,0.62,0.62
1235865600,0.52,0.52,0.52,0.52
1238544000,0.33,0.33,0.33,0.33
1241136000,0.2,0.2,0.2,0.2
1243814400,-0.07,-0.07,-0.07,-0.07
1246406400,-0.18,-0.18,-0.18,-0.18
1249084800,-0.28,-0.28,-0.28,-0.28
1251763200,-0.09,-0.09,-0.09,-0.09
1254355200,-0.03,-0.03,-0.03,-0.03
1257033600,0.05,0.05,0.05,0.05
1259625600,-0.04,-0.04,-0.04,-0.04
1262304000,-0.1,-0.1,-0.1,-0.1
1264982400,-0.1,-0.1,-0.1,-0.1
1267401600,-0.07,-0.07,-0.07,-0.07
1270080000,0.03,0.03,0.03,0.03
1272672000,0.02,0.02,0.02,0.02
1275350400,0.03,0.03,0.03,0.03
1277942400,0.13,0.13,0.13,0.13
1280620800,0.24,0.24,0.24,0.24
1283299200,0.27,0.27,0.27,0.27
1285891200,0.2,0.2,0.2,0.2
1288569600,0.12,0.12,0.12,0.12
1291161600,0.05,0.05,0.05,0.05
1293840000,0.04,0.04,0.04,0.04
1296518400,0.03,0.03,0.03,0.03
1298937600,0.04,0.04,0.04,0.04
1301616000,0.09,0.09,0.09,0.09
1304208000,0.23,0.23,0.23,0.23
1306886400,0.27,0.27,0.27,0.27
1309478400,0.14,0.14,0.14,0.14
1312156800,-0.13,-0.13,-0.13,-0.13
1314835200,-0.3,-0.3,-0.3,-0.3
1317427200,-0.26,-0.26,-0.26,-0.26
1320105600,-0.19,-0.19,-0.19,-0.19
1322697600,-0.16,-0.16,-0.16,-0.16
1325376000,-0.24,-0.24,-0.24,-0.24
1328054400,-0.22,-0.22,-0.22,-0.22
1330560000,-0.2,-0.2,-0.2,-0.2
1333238400,-0.26,-0.26,-0.26,-0.26
1335830400,-0.28,-0.28,-0.28,-0.28
1338508800,-0.2,-0.2,-0.2,-0.2
1341100800,-0.04,-0.04,-0.04,-0.04
1343779200,-0.07,-0.07,-0.07,-0.07
1346457600,-0.11,-0.11,-0.11,-0.11
1349049600,-0.22,-0.22,-0.22,-0.22
1351728000,-0.31,-0.31,-0.31,-0.31
1354320000,-0.43,-0.43,-0.43,-0.43
1356998400,-0.4,-0.4,-0.4,-0.4
1359676800,-0.15,-0.15,-0.15,-0.15
1362096000,0.15,0.15,0.15,0.15
1364774400,0.27,0.27,0.27,0.27
1367366400,0.31,0.31,0.31,0.31
1370044800,0.52,0.52,0.52,0.52
1372636800,0.86,0.86,0.86,0.86
1375315200,1.14,1.14,1.14,1.14
1377993600,1.22,1.22,1.22,1.22
1380585600,1.29,1.29,1.29,1.29
1383264000,1.37,1.37,1.37,1.37
1385856000,1.31,1.31,1.31,1.31
1388534400,1.07,1.07,1.07,1.07
1391212800,0.62,0.62,0.62,0.62
1393632000,0.12,0.12,0.12,0.12
1396310400,-0.33,-0.33,-0.33,-0.33
1398902400,-0.58,-0.58,-0.58,-0.58
1401580800,-0.58,-0.58,-0.58,-0.58
1404172800,-0.6,-0.6,-0.6,-0.6
1406851200,-0.66,-0.66,-0.66,-0.66
1409529600,-0.76,-0.76,-0.76,-0.76
1412121600,-0.8,-0.8,-0.8,-0.8
1414800000,-0.82,-0.82,-0.82,-0.82
1417392000,-0.78,-0.78,-0.78,-0.78
1420070400,-0.59,-0.59,-0.59,-0.59
1422748800,-0.28,-0.28,-0.28,-0.28
1425168000,-0.07,-0.07,-0.07,-0.07
1427846400,0.18,0.18,0.18,0.18
1430438400,0.46,0.46,0.46,0.46
1433116800,0.83,0.83,0.83,0.83
1435708800,1.22,1.22,1.22,1.22
1438387200,1.54,1.54,1.54,1.54
1441065600,1.85,1.85,1.85,1.85
1443657600,1.98,1.98,1.98,1.98
1446336000,1.97,1.97,1.97,1.97
1448928000,1.72,1.72,1.72,1.72
1451606400,1.37,1.37,1.37,1.37
1454284800,1.17,1.17,1.17,1.17
1456790400,0.98,0.98,0.98,0.98
1459468800,0.66,0.66,0.66,0.66
1462060800,0.35,0.35,0.35,0.35
1464739200,0.24,0.24,0.24,0.24
1467331200,0.24,0.24,0.24,0.24
1470009600,0.12,0.12,0.12,0.12
1472688000,-0.05,-0.05,-0.05,-0.05
1475280000,-0.1,-0.1,-0.1,-0.1
1477958400,-0.18,-0.18,-0.18,-0.18
1480550400,-0.3,-0.3,-0.3,-0.3
1483228800,-0.41,-0.41,-0.41,-0.41
1485907200,-0.48,-0.48,-0.48,-0.48
1488326400,-0.53,-0.53,-0.53,-0.53
1491004800,-0.45,-0.45,-0.45,-0.45
1493596800,-0.24,-0.24,-0.24,-0.24
1496275200,-0.0,-0.0,-0.0,-0.0
1498867200,0.05,0.05,0.05,0.05
1501545600,-0.16,-0.16,-0.16,-0.16
1504224000,-0.3,-0.3,-0.3,-0.3
1506816000,-0.38,-0.38,-0.38,-0.38
1509494400,-0.34,-0.34,-0.34,-0.34
1512086400,-0.44,-0.44,-0.44,-0.44
1514764800,-0.64,-0.64,-0.64,-0.64
1517443200,-0.74,-0.74,-0.74,-0.74
1519862400,-0.62,-0.62,-0.62,-0.62
1522540800,-0.44,-0.44,-0.44,-0.44
1525132800,-0.04,-0.04,-0.04,-0.04
1527811200,0.28,0.28,0.28,0.28
1530403200,0.58,0.58,0.58,0.58
1533081600,0.53,0.53,0.53,0.53
1535760000,0.45,0.45,0.45,0.45
1538352000,0.55,0.55,0.55,0.55
1541030400,0.73,0.73,0.73,0.73
1543622400,0.98,0.98,0.98,0.98
1546300800,1.13,1.13,1.13,1.13
1548979200,1.09,1.09,1.09,1.09
1551398400,0.95,0.95,0.95,0.95
1554076800,0.77,0.77,0.77,0.77
1556668800,0.61,0.61,0.61,0.61
1559347200,0.43,0.43,0.43,0.43
1561939200,0.36,0.36,0.36,0.36
1564617600,0.51,0.51,0.51,0.51
1567296000,0.79,0.79,0.79,0.79
1569888000,0.86,0.86,0.86,0.86
1572566400,0.81,0.81,0.81,0.81
1575158400,0.63,0.63,0.63,0.63
1577836800,0.51,0.51,0.51,0.51
1580515200,0.34,0.34,0.34,0.34
1583020800,0.29,0.29,0.29,0.29
1585699200,0.19,0.19,0.19,0.19
1588291200,0.04,0.04,0.04,0.04
1590969600,-0.3,-0.3,-0.3,-0.3
1593561600,-0.63,-0.63,-0.63,-0.63
1596240000,-0.76,-0.76,-0.76,-0.76
1598918400,-0.77,-0.77,-0.77,-0.77
1601510400,-0.74,-0.74,-0.74,-0.74
1604188800,-0.86,-0.86,-0.86,-0.86
1606780800,-1.15,-1.15,-1.15,-1.15
1609459200,-1.36,-1.36,-1.36,-1.36
1612137600,-1.38,-1.38,-1.38,-1.38
